order_id,products
1654153,16797 24852 47766 42450 5077 18721 33819 6631 26165 19086 30233 35752 32727 37283 9409 35199 47392 30850 33827 39201 39046 42495 35102 22108 44167 32200 25520 22070 42252 44678 13806
1572866,
1703943,
1703945,11520 34126 33731 26324 40311
3276811,9076 8153
131084,13176
3145741,16797 4920 35652 12341 8048 33768 21292 31651 4724 42392
655374,41787 24852 37646 49683 31683 42736 30252 43014 38689 19511 39408 25256 32578 40545 37158 30949 10106 38890
2621456,6489 24186 36316 40709 46049 47977 47866 9623 25001 25408 40772
17,
1310738,
262165,1408
2490390,23511
2752535,13176 26604 31915 6740 34005
1835032,13176 22825 24852 19895 10831 36550 30233 1463 46584 7090 7715 6849
1572891,13176 37646 1463 25406 43500
1703965,24852 47766 11520 26209 26790 5025 27845 18288 44786 20015 7185 17191 18618 34244 9348
1966112,17122
2621473,47209 40604 24830
34,47766 39180 47029
1835044,47766 42828 23765 5876 27845 8076 38689 39475 20431 18620
786469,13219 45005
3276838,45977
262183,24852 31683 34969
2621481,24852 28204 23909 39921 33852 34047 16556 47842
3407914,24852 47209 39275 44910 44632 5876 17948 41950 45437 8174 27247 25533
3276844,28985 47630 19660
3276846,13176 46650 13166 11422
3145779,47766 9387 47141 48205 44548 23288 1940 40910 26857 44923 46673 12980 39032 19863 47185 20561 13732 14827 13277 740 17545 17565 33609
1179700,26209
3014711,13176 22825 47766 11777 26604 42828 36865 47626 47912 19677 3957 45106 26131 329 39475 46616 28946 22170 39448 43310 45575
131129,24852 13187 33368 39099 2121 30975
2359355,24852 39877
196618,16797 39275 35140 24830 15902 48205 30638 40338 47242 41242 8475 25102 44860 26824 48462
2664959,24852 14233
786496,7503 42557 11068 25659 7120 42768 1360 28849 41544 5024 42479 43760 26032 31770 20178 41665 18829 11447 14996 11980 40397
1048642,49235 17758 46886 21137 27845 11512 31040 29447 42796 20178 35749 5693 22365 40171
786443,
1704004,13176 14233
1572933,
3014726,
3145799,
2883656,24852 21497
1704009,196 46149 16797 43352 21288 29223 38775 19660 34148
2950418,47626 4562 20463
1966155,24852 42736 37096 39832 34487 29642
357893,43352 45965 34590 32250
131149,47626 8859
432090,16797 13249 1649
1441873,30776 11543
3014739,20119
3276889,49235
786522,24852 21137 14233
2621535,44632 35221 2962
1310817,24852
2490468,1940 14999 48370 10547
2883685,13176 16797 21137 25146 4920 8953 15200 8571 9358 15772
1310822,
2490472,
524393,13176 23650 13870 41290 27845 49236 23952 486 27392 30382 7518
1572970,24852 39877 38689
655468,21261
393325,28682 46650 36011 8671 45681 35167 46226
655472,
2883697,18805 26916
3407986,47626
3145845,12146 49440 45999
1117321,17122 41596 30827 4724
524410,24852 4799 44632 38689
1572987,
2883708,26209 46627
1704063,47209 21903 5876 21386 26165
1835136,21573 31022
1179777,13176 24852 21137 21903 25466 2086
2359429,5450 24852 4210 47141 23909 35845 40600 35762 4978 16564 6801 24685 20134 44446
137,41787 24852 38689
2883723,28576
